loan_id,origination_date,loan_product,monthly_income_inr,cibil_score,loan_amount_inr,interest_rate_pct,dti_ratio,days_past_due,ind_as_stage,default_flag,is_approved,decision_reason,risk_tier
LN000001,2025-12-01,Personal Loan,48500.0,712,430000.0,17.13,0.458,0,Current,0,True,Approved,Tier 3: Near Prime
LN000002,2026-01-07,Consumer Durable,101200.0,840,21000.0,15.0,0.278,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000004,2026-03-28,Two-Wheeler,30200.0,735,104000.0,16.75,0.502,0,Current,0,True,Approved,Tier 3: Near Prime
LN000008,2026-05-01,Consumer Durable,29900.0,746,76000.0,16.57,0.384,15,Stage 1,0,True,Approved,Tier 3: Near Prime
LN000010,2025-05-02,Two-Wheeler,24800.0,676,63000.0,17.73,0.51,10,Stage 1,0,True,Approved,Tier 4: Sub-Prime
LN000012,2025-06-02,Consumer Durable,60500.0,772,56000.0,16.13,0.302,0,Current,0,True,Approved,Tier 2: Prime
LN000013,2025-04-29,Consumer Durable,92500.0,694,60000.0,17.43,0.22,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000014,2024-10-15,Personal Loan,118900.0,795,361000.0,15.75,0.474,0,Current,0,True,Approved,Tier 2: Prime
LN000015,2025-10-09,Personal Loan,57900.0,807,183000.0,15.55,0.54,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000016,2025-11-06,Personal Loan,37600.0,802,133000.0,15.63,0.533,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000020,2025-09-18,Personal Loan,86100.0,662,171000.0,17.97,0.216,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000021,2024-08-16,Two-Wheeler,108500.0,667,49000.0,17.88,0.495,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000022,2025-04-23,Personal Loan,29900.0,824,178000.0,15.27,0.395,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000023,2025-07-23,Personal Loan,159000.0,773,395000.0,16.12,0.276,0,Current,0,True,Approved,Tier 2: Prime
LN000026,2025-07-25,Two-Wheeler,36000.0,714,53000.0,17.1,0.334,0,Current,0,True,Approved,Tier 3: Near Prime
LN000027,2025-07-03,Personal Loan,90300.0,785,413000.0,15.92,0.423,0,Current,0,True,Approved,Tier 2: Prime
LN000028,2025-03-30,Two-Wheeler,19600.0,702,63000.0,17.3,0.329,0,Current,0,True,Approved,Tier 3: Near Prime
LN000029,2025-04-07,Two-Wheeler,40000.0,825,102000.0,15.25,0.219,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000031,2024-09-30,Two-Wheeler,22400.0,829,82000.0,15.18,0.429,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000033,2026-06-11,Personal Loan,60200.0,840,378000.0,15.0,0.527,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000034,2025-11-05,Consumer Durable,79400.0,813,80000.0,15.45,0.227,17,Stage 1,0,True,Approved,Tier 1: Prime Plus
LN000035,2025-10-07,Consumer Durable,41500.0,726,73000.0,16.9,0.197,0,Current,0,True,Approved,Tier 3: Near Prime
LN000036,2026-07-16,Consumer Durable,88500.0,677,59000.0,17.72,0.509,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000039,2025-12-24,Two-Wheeler,33400.0,719,113000.0,17.02,0.503,0,Current,0,True,Approved,Tier 3: Near Prime
LN000047,2025-11-10,Personal Loan,87200.0,769,76000.0,16.18,0.507,13,Stage 1,0,True,Approved,Tier 2: Prime
LN000048,2026-02-23,Two-Wheeler,76000.0,887,66000.0,14.22,0.189,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000049,2024-12-13,Two-Wheeler,124400.0,669,72000.0,17.85,0.297,0,Current,0,True,Approved,Tier 4: Sub-Prime
