loan_id,origination_date,loan_product,monthly_income_inr,cibil_score,loan_amount_inr,interest_rate_pct,dti_ratio,days_past_due,ind_as_stage,default_flag
LN000001,2025-12-01,Personal Loan,48500.0,712,430000.0,17.13,0.458,0,Current,0
LN000002,2026-01-07,Consumer Durable,101200.0,840,21000.0,15.0,0.278,0,Current,0
LN000003,2026-05-30,Two-Wheeler,71300.0,591,130000.0,19.15,0.561,0,Current,0
LN000004,2026-03-28,Two-Wheeler,30200.0,735,104000.0,16.75,0.502,0,Current,0
LN000005,2025-09-26,Personal Loan,143200.0,643,619000.0,18.28,0.592,0,Current,0
LN000006,2026-04-09,Personal Loan,19500.0,753,688000.0,16.45,1.507,0,Current,0
LN000007,2025-11-16,Personal Loan,57800.0,569,385000.0,19.52,0.643,0,Current,0
LN000008,2026-05-01,Consumer Durable,29900.0,746,76000.0,16.57,0.384,15,Stage 1,0
LN000009,2025-07-09,Two-Wheeler,20100.0,875,125000.0,14.42,0.678,0,Current,0
LN000010,2025-05-02,Two-Wheeler,24800.0,676,63000.0,17.73,0.51,10,Stage 1,0
LN000011,2025-10-09,Personal Loan,47600.0,599,289000.0,19.02,0.463,29,Stage 1,0
LN000012,2025-06-02,Consumer Durable,60500.0,772,56000.0,16.13,0.302,0,Current,0
LN000013,2025-04-29,Consumer Durable,92500.0,694,60000.0,17.43,0.22,0,Current,0
LN000014,2024-10-15,Personal Loan,118900.0,795,361000.0,15.75,0.474,0,Current,0
LN000015,2025-10-09,Personal Loan,57900.0,807,183000.0,15.55,0.54,0,Current,0
LN000016,2025-11-06,Personal Loan,37600.0,802,133000.0,15.63,0.533,0,Current,0
LN000017,2024-10-29,Personal Loan,91400.0,717,598000.0,17.05,0.641,0,Current,0
LN000018,2025-02-20,Two-Wheeler,33900.0,865,132000.0,14.58,0.62,0,Current,0
LN000019,2025-01-28,Personal Loan,18800.0,783,654000.0,15.95,1.458,15,Stage 1,0
LN000020,2025-09-18,Personal Loan,86100.0,662,171000.0,17.97,0.216,0,Current,0
LN000021,2024-08-16,Two-Wheeler,108500.0,667,49000.0,17.88,0.495,0,Current,0
LN000022,2025-04-23,Personal Loan,29900.0,824,178000.0,15.27,0.395,0,Current,0
LN000023,2025-07-23,Personal Loan,159000.0,773,395000.0,16.12,0.276,0,Current,0
LN000024,2025-06-22,Personal Loan,69600.0,662,394000.0,17.97,0.6,74,Stage 2,0
LN000025,2026-04-16,Personal Loan,63600.0,691,922000.0,17.48,0.858,0,Current,0
LN000026,2025-07-25,Two-Wheeler,36000.0,714,53000.0,17.1,0.334,0,Current,0
LN000027,2025-07-03,Personal Loan,90300.0,785,413000.0,15.92,0.423,0,Current,0
LN000028,2025-03-30,Two-Wheeler,19600.0,702,63000.0,17.3,0.329,0,Current,0
LN000029,2025-04-07,Two-Wheeler,40000.0,825,102000.0,15.25,0.219,0,Current,0
LN000030,2024-08-27,Personal Loan,31600.0,748,825000.0,16.53,1.129,91,Stage 3 (Default),1
LN000031,2024-09-30,Two-Wheeler,22400.0,829,82000.0,15.18,0.429,0,Current,0
LN000032,2026-03-31,Personal Loan,82300.0,628,149000.0,18.53,0.283,160,Stage 3 (Default),1
LN000033,2026-06-11,Personal Loan,60200.0,840,378000.0,15.0,0.527,0,Current,0
LN000034,2025-11-05,Consumer Durable,79400.0,813,80000.0,15.45,0.227,17,Stage 1,0
LN000035,2025-10-07,Consumer Durable,41500.0,726,73000.0,16.9,0.197,0,Current,0
LN000036,2026-07-16,Consumer Durable,88500.0,677,59000.0,17.72,0.509,0,Current,0
LN000037,2025-08-11,Personal Loan,51300.0,824,885000.0,15.27,0.732,0,Current,0
LN000038,2025-11-21,Personal Loan,36900.0,683,908000.0,17.62,1.198,0,Current,0
LN000039,2025-12-24,Two-Wheeler,33400.0,719,113000.0,17.02,0.503,0,Current,0
LN000040,2026-02-28,Personal Loan,15000.0,760,604000.0,16.33,1.726,0,Current,0
LN000041,2024-11-17,Personal Loan,98600.0,629,114000.0,18.52,0.298,0,Current,0
LN000042,2025-06-23,Personal Loan,92100.0,705,856000.0,17.25,0.786,0,Current,0
LN000043,2024-08-14,Personal Loan,283900.0,646,467000.0,18.23,0.231,0,Current,0
LN000044,2025-05-30,Consumer Durable,40100.0,595,73000.0,19.08,0.448,0,Current,0
LN000045,2025-03-24,Personal Loan,32900.0,886,398000.0,14.23,0.595,0,Current,0
LN000046,2026-02-10,Two-Wheeler,17700.0,667,115000.0,17.88,0.662,0,Current,0
LN000047,2025-11-10,Personal Loan,87200.0,769,76000.0,16.18,0.507,13,Stage 1,0
LN000048,2026-02-23,Two-Wheeler,76000.0,887,66000.0,14.22,0.189,0,Current,0
LN000049,2024-12-13,Two-Wheeler,124400.0,669,72000.0,17.85,0.297,0,Current,0
LN000050,2024-09-07,Personal Loan,28300.0,619,762000.0,18.68,1.442,0,Current,0
LN000051,2025-02-10,Consumer Durable,75300.0,860,20000.0,14.67,0.168,0,Current,0
LN000052,2025-03-08,Two-Wheeler,35800.0,645,46000.0,18.25,0.397,0,Current,0
LN000053,2024-11-19,Consumer Durable,109800.0,687,66000.0,17.55,0.135,0,Current,0
LN000054,2025-01-05,Consumer Durable,67600.0,674,61000.0,17.77,0.195,0,Current,0
LN000055,2025-08-18,Two-Wheeler,19300.0,732,126000.0,16.8,0.403,0,Current,0
LN000056,2025-09-06,Consumer Durable,45300.0,574,79000.0,19.43,0.464,0,Current,0
LN000057,2025-06-19,Personal Loan,15200.0,769,663000.0,16.18,1.842,0,Current,0
LN000058,2026-06-05,Personal Loan,24400.0,757,109000.0,16.38,0.639,0,Current,0
LN000059,2025-01-05,Personal Loan,25300.0,789,839000.0,15.85,1.407,0,Current,0
